Pathway name,Enrichment score,Normalized enrichment score,p-value,q-value,Description,Driving genes
GOBP_DETECTION_OF_STIMULUS,-0.5306028187377074,-1.8725959645370327,1.999960000799984e-5,0.004253605022390778,"The series of events in which a stimulus is received by a cell or organism and converted into a molecular signal. [GOC:add, GOC:ai, GOC:dph, GOC:mah]",LPO;OR6A2;OR7G2;OR4D1;TRPM8;HTR2A;SCN1A;HPN;PKD1L2;OR9A4;OR13H1;OR9I1;CDH2;OR7D2;P2RX2;CNGB1;OR1L1;OR8G1;OR5A1;CRB1;OR2D3;TACR1;RTP2;SEMA5B;COL11A1;OR5K1;KCNK4;ADORA1;OR1N2;OR3A3;OR1Q1;GCK;OR2W3;CA6;SLC24A2;PRDM12;OR6J1;OR2AG2;OR13D1;SMO;OR10A2;CASQ2;TMC2;NLRP3;OR1F2P;KCNIP2;PHF24;KCNA1;PKDREJ;TGFB3;CSRP3;OR2L3;NR2E3;TRPM3;GUCY2F;OR1M1;OR10V1;RCVRN;OR9Q2;TAS2R38;OR56A4;OR5AU1;ASIC2;OR2B11;OR1A1;OR5H14;NTSR1;PDZD7;DACH1;OR2B6;LHFPL5;OR1I1;OR52W1;OPN4;OR2L2;TAS2R39;OR13G1;PGLYRP2;OR51B2;EYS;KCNMB1;OR56A1;OR1J1;DRGX;OR52M1;NKX6-1;OTOP1;CAV3;OR1J4;CASR;GPR88;GUCY2D;OPN1SW;OR10A5;PKD1L1;SERPINE2;OR2W6P;OR6F1;OR52K1;OR1L8;SLC24A4;TAS2R4;CDHR2;OR2AK2;PIEZO2;OR2B2;OR51M1;TAS2R40;OR51B4;OR10D3;OR52B2;OR2M3;NOD2;OR10H1;ASIC3;OR52K2;OR52I2;GRM6;FOXF1;OR52I1;RYR2;TLR2;BEST1;NTRK1;DMBT1;GPR52;OR2D2;GUCA1A;OR7C1;OR10H2;CALCA;OR51B6;OR13J1;PRPH2;OR1C1;NGFR;CHRNA10;OR5B21;OR10H5;OR10A4;OR52N5;CADM1;OR52D1;OR51I1;OR7A5;CABP4;CACNA1F;OR51Q1;GNAT1;ATP8A2;OR10Z1;OR52A1;RS1;OR1D2;OR52N4;OR6T1;SSC5D;KCNMB4;OPN3;RGS9BP
GOBP_ORGANIC_ANION_TRANSPORT,-0.41454634970441534,-1.4642567781241602,1.999960000799984e-5,0.004253605022390778,"The directed movement of organic anions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Organic anions are atoms or small molecules with a negative charge which contain carbon in covalent linkage. [GOC:ai, GOC:krc]",SLC1A3;SLC51B;SLC36A2;SLC1A7;SLC36A3;SLCO1A2;SLC32A1;SSTR4;MTTP;SLC6A1;SLC1A2;CALHM1;CYP7A1;SLC7A10;SLC35D3;LEP;GRM1;SLC26A10P;ADORA1;SLC22A2;SLC6A7;SLC17A8;ATP1A2;SLC6A12;AGXT;SLC17A7;SLC13A5;SLC2A14;SLC25A41;SLC22A13;RTBDN;CA4;SLC47A1;SLCO1B3;GFAP;SLC6A15;NTSR1;SLC6A17;PDPN;SLC38A3;SLCO5A1;SV2A;ADORA2A;AVPR1A;SLC22A9;SLC22A7;SLC25A42;SLC6A13;SLC27A6;CASR;ABCG2;SLC26A6;SLC7A5;SLC16A12;SLC43A1;SLC7A8;HTR1B;SLC22A14;SLC10A4;SLC7A1;SLC26A8;SLC38A5;PLA2G2A;HRH3;NMUR2;SLC5A6;PLA2G2D;IL1A;SLC25A18;ASIC3;ABCC3;PLA2G2C;PROCA1;BEST1;SLC4A3;AGT;NTRK2;PLEKHA3;AQP9;SLC4A4;P2RX4;ABCC11;CLN3;CR1;CYP4F2;SLC7A5P1;ACE;SLC19A1;SLC7A9;SLC2A3;SLC4A1;SLC2A9;PLEKHA8P1;TNFSF11;TRPC4;MPC1L;IL1B;GRM2;SFXN5;SLC52A1;TSPO2;SLCO1B1;EDN1;SLC33A1;SLC1A4;KCNJ10;SLC7A7;NR0B2;MAP2K6;SLCO2B1
GOBP_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT,-0.4098883606149241,-1.4596870365748222,1.999960000799984e-5,0.004253605022390778,"Any process that modulates the frequency, rate or extent of the directed movement of ions from one side of a membrane to the other. [GOC:mah]",KCNG1;KCNF1;KCNJ16;SCN1B;GJA5;CACNA1A;SHISA7;KCNB1;TRPM5;SCN1A;SCN2A;CACNA1I;SCN3B;HAP1;STAC2;FXYD6;KCNE4;CACNA1G;CACNA1E;PM20D1;CALHM1;KCNK12;KCNH2;PRKCE;WNK4;PRKD1;KCNA2;KCNK4;KCNK17;CACNG4;SCN11A;LRRC55;FGF14;FXYD1;KCNJ11;SCN2B;ATP1A2;PTAFR;SCN4A;CACNA2D2;KCNIP1;CASQ2;THY1;KCNJ12;TMC2;DRD1;HRC;ANK2;KCNIP2;KCNQ4;CACNG8;KCNH7;KCNJ6;KCNA1;FXYD2;KCNA7;IL13;NETO2;FXYD7;JPH3;KCNA5;JPH4;ASIC2;KCNMA1;KCNE5;NTSR1;CCL2;DLG4;MTNR1B;KCNH6;KCNS1;FGF13;KCNK10;PCSK9;KCNJ2;SCN5A;JPH2;RASGRF1;KCNMB1;KCNG4;SHISA9;SHANK1;DPP10;CACNA1B;KCNJ4;SCN8A;CAV3;CNIH2;MAPK8IP2;F2RL3;KCNA10;SCN3A;SLC43A1;EDNRA;SHISA6;KCNC1;REM1;HPCA;KCNIP3;KCNS2;ABCC8;KCNJ13;KCNH5;NPPA;HECW1;PDE4D;P2RX1;SHISA8;ATP1B2;MRLN;CATSPER1;APLNR;F2;CASQ1;FHL1;KCNH1;TMEM38B;ATP2A1;KCNN2;KCNK15;RYR2;GSG1L;KCNJ1;KCNC2;GNB5;KCNAB2;AGT;WNK3
GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,-0.4617500161597104,-1.6386331700240713,1.999960000799984e-5,0.004253605022390778,"Any process that modulates the establishment or extent of a membrane potential, the electric potential existing across any membrane arising from charges in the membrane itself and from the charges present in the media on either side of the membrane. [GOC:jl, GOC:mtg_cardio, GOC:tb, ISBN:0198506732]",CLDN19;CHRM1;RIMS4;SCN1B;GJA5;MPP2;MYOC;FZD9;KCNB1;SCN1A;CHRNA2;SCN2A;CACNA1I;SLC8A2;SCN3B;SLC8A3;P2RX2;KCNE4;CNGB1;CACNA1G;GRID2;KCNK12;KCNH2;CHRNB4;GABRB1;TACR1;KCNA2;TMEM108;RIMS2;KCNK4;KCNK17;GRIN2B;GRM1;SCN11A;ADORA1;FXYD1;KCNJ11;SCN2B;ATP1A2;GRIK5;SCN4A;CTNNA3;CASQ2;DRD1;HTR3E;ANK2;KCNIP2;KCNH7;KCNA1;NRXN1;BVES;CHRNB2;SEZ6;KCNA5;P2RX6;ASIC2;KCNMA1;GRIN2C;CCN6;KCNE5;GABRD;NTSR1;ADRA1A;GABRA4;DLG4;MTNR1B;P2RX5;KCNH6;BEST2;FGF13;KCNK10;KCNJ2;SCN5A;SHANK1;ADORA2A;GABRG2;WNT7A;CBLN1;PIP5KL1;CELF4;SCN8A;GRIN2D;CAV3;CNIH2;MAPK8IP2;SCN3A;GPR88;KCNC1;SLC24A4;GRIA3;KCNH5;NPPA;PIEZO2;P2RX1;PID1;ATP1B2;TBX18;RTL10;FHL1;KCNH1;GABRB2;ATP1A4;KCNK3;GJC1;KCNN2;KCNK15;GRIA1;RYR2;KCNK9;GRIK4;GRID1;HCN4;ATP1A3;KCNC2;OPRD1;KCNAB2;SLC4A3;NRCAM;NTRK2;CUX2;KCNK16;GRIK3;SLC4A4;HCN2;GRIN1;CHRNA10;CHRND;P2RX4;RNF122;CLN3;KCNQ3;GRIN3A;CNTNAP1;KCNK13;DMPK;CAV1;NETO1;CACNA1H;BCL2;CHRNA5;CACNB2;EDN1;KCNJ10;KCTD7;STX1B;KCNMB4;GRIK1;AKAP6;NLGN3;SLC4A8;INSYN2A;CHRNG;KCNJ8;GCLC;CHRNE;GPR35;KCNK7;KCNJ5;GABRG3;RIMS3;GLRA1
GOBP_REGULATION_OF_SYSTEM_PROCESS,-0.4257099414021448,-1.5209402811280506,1.999960000799984e-5,0.004253605022390778,"Any process that modulates the frequency, rate or extent of a system process, a multicellular organismal process carried out by any of the organs or tissues in an organ system. [GOC:jl]",SCN1B;GJA5;C1QTNF1;NPTX2;SHISA7;HTR2A;ADORA3;GLP1R;ADRA2B;SLC8A2;SCN3B;SLC8A3;KCNE4;CACNA1G;KCNH2;CHRNB4;TACR1;WNK4;LEP;ADM2;TMEM108;RIMS2;MYH6;PTGER3;CACNG4;GRM1;APOA1;SCN11A;ADORA1;FGA;TNNI1;SSTR2;FXYD1;TMEM100;SCN2B;ATP1A2;PTAFR;SCN4A;ABCG8;APELA;CTNNA3;CST7;CASQ2;KCNJ12;HRC;ANK2;TBXA2R;KCNIP2;KCNA1;CSRP3;MYH7;CYP8B1;NRXN1;JAM2;PRKAG3;PRKG1;BVES;TNR;GUCY1A1;KCNA5;DLGAP1;ASIC2;KCNMA1;KCNE5;PI16;NTSR1;ADRA1A;ZNF488;DLG4;MTNR1B;HSPB7;LMCD1;KCNH6;BEGAIN;FGF13;CAMK2B;KCNJ2;SCN5A;MYOCD;BMP6;ADRA1D;SHISA9;SHANK1;MLIP;PDGFB;ADORA2A;FTO;AVPR1A;DBH;WNT7A;CBLN1;NPTX1;CELF4;GRIN2D;CAV3;INHBA;TNNI3;ADRA1B;CNIH2;MYLK2;TACR2;CASR;EDNRA;SHISA6;PVALEF;SPTBN4;ABCC8;TENM4;S100A1;ATP2B2;GHSR;NMUR2;TNNT1;ADRA2C;NPPA;FOXN4;ENPP7;PDE4D;NKX2-5;IL1A;P2RX1;ACTN3;ATP1B2;TBX18;GAS6;CASQ1;NPHS1;ADIPOQ;TMEM38B;ATP2A1;GJC1;HRH2;KCNN2;MYBPC3;RYR2;APOA5;TBX2;HCN4;ADA;ATP1A3;OPRD1;SLC4A3;PTPRO;NPTXR;AGT;KBTBD13;PRKCA;CALCA;APLN;CUX2;CHRM3;MIR17HG;ABCC9;TMIGD3;GRIN1;TNNT2;PPP1R12B;P2RX4;GSTM2;ACE;APOA2;ZFHX2;ADM5;MMP2;SMTNL2;SPX;DES;DMPK;SHOX2;HAMP;ATP2B3;CAV1;NETO1;CACNA1H;TIFAB;TPM1;CRHBP;CACNB2;EDN1
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING,-0.4118518629996034,-1.4615573367168735,1.999960000799984e-5,0.004253605022390778,"Any process that modulates the frequency, rate or extent of trans-synaptic signaling. [GOC:dos]",SLC1A3;VGF;RIMS4;CACNA1A;NPTX2;SHISA7;MPP2;HTR2A;KCNB1;CSPG5;CLSTN2;SLC8A2;CDH2;HAP1;SLC8A3;SLC6A1;ADCY1;GRID2;CHRNB4;TACR1;PRKCE;TMEM108;RIMS2;CACNG4;CRHR2;GRIN2B;GRM1;ADORA1;PTPRD;SLC24A2;ATP1A2;GRIK5;SYT11;CDH11;DRD1;SYN1;CACNG8;NR2E1;PHF24;NRXN1;GRM3;DGKI;TNR;NEUROD2;JPH3;CHRNB2;SYP;UNC13A;JPH4;PRKCG;DLGAP1;GRIN2C;DCC;CYP46A1;GFAP;ADRA1A;CCL2;DLG4;ACHE;CPLX2;SORCS2;BEGAIN;SEPTIN5;CAMK2B;LRRTM1;CNTN4;RASGRF1;SHISA9;NTNG2;SHANK1;ADORA2A;NRG3;CACNA1B;WNT7A;CBLN1;NPTX1;CELF4;GRIN2D;PPP1R9A;PLPPR4;CNIH2;MAPK8IP2;TACR2;CPLX1;SHISA6;HTR1B;SRGN;SERPINE2;GHSR;SYT12;P2RX1;SHISA8;BDNF;ADIPOQ;MCTP2;LZTS1;GRM6;GRIA1;ADGRB1;PLCL1;GRIK4;GRID1;NTRK1;CNTN2;SNAP25;LRRC4C;NPTXR;AGT;ROR2;NTRK2;BRSK1;CUX2;PCDH17;GRIK3;TUBB2B;GRIN1;CLN3;MCTP1;GRIN3A;GRM4;LRFN2;DMPK;RASGRF2;IL1B;GRM2;NETO1;WNT3A;CHRNA5;CACNB2;EDN1;KCNJ10;STX1B;KCNMB4;GRIK1;SNCAIP;NLGN3;ZDHHC2;SLC4A8;DISC1;P2RY4;CCR2;RIMS3;PRKCB;CAMK2A;ADRA2A;PLCB1;PTGS2;DLGAP4;NTF3;BTBD9;AKAP7;RAB3A;GRM8;NTF4;VAMP2;OXTR;TSHZ3;NRGN;PRKN;PLA2G6;MAP1B
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE,-0.4557139602529443,-1.6296392203014691,1.999960000799984e-5,0.004253605022390778,A structure that lies outside the plasma membrane and surrounds the entire cell or cells. This does not include the periplasmic space. [GOC:go_curators],COL22A1;ELFN1;IHH;ACAN;LINGO1;FIBCD1;MEPE;ADAMTS12;CD248;MYOC;PXDN;COL9A3;SHH;ADAMTS18;DSPP;ELFN2;CDH2;WNT11;THBS4;ADAMTS16;LRRN2;COL2A1;MFAP5;FLRT2;F7;ADAMTS15;COL1A1;LMAN1L;COL11A1;ITIH5;GPC2;PTX3;IMPG2;LEFTY2;PRG2;FCN3;APOA1;VIT;INHBE;LRRC15;DMP1;COL5A1;FGA;HTRA1;MARCOL;AHSG;TMEFF2;FREM1;HMCN2;CCN4;A1BG;MATN1;COL23A1;NYX;FN1;COLEC12;COL8A2;FMOD;COL16A1;TGFB1I1;FBN3;ANGPTL5;COL25A1;THBS1;ENAM;ELFN2;COL18A1;RTN4RL2;TGFB3;OLFML2B;LINGO2;MFAP2;SSPOP;PRG4;RTBDN;APLP1;NCAM1;L1CAM;TNR;RTN4RL1;ADAMTS2;COL4A3;CCN5;SERPINA3;CPN2;LTBP1;HRG;THSD4;COL6A5;FBLN2;MMP7;CCN6;FBLN7;MUC17;COL27A1;ADAMTS8;SMOC1;ACHE;COL14A1;TNN;NDNF;PODN;LOXL2;FREM3;MMRN1;MEGF9;LRRTM1;COL8A1;EYS;NID1;NTNG2;SMOC2;PDGFB;ADAMTS5;SDC3;PLG;MATN3;ADAMTSL2;WNT7A;ADAMTS3;COL20A1;ANXA5;CBLN1;ELN;ADAMTS4;LAMC3;AEBP1;HPSE2;CDH13;MUC5B;ADAMTS19;ANGPTL3;TRIL;SERPINC1;ANGPTL7;GPC5;EMILIN3;SFRP1;P3H1;EFNA5;COL17A1;DPT;SERPINE2;ENTPD2;ANGPT2;WNT6;OTOG;LRRTM4;LRRN3;FRAS1;HPX;PRELP;NPPA;SOD3;GPC6;MMP8;EMILIN1;COL4A4;F2;ADAMTS9;PCSK6;ZG16;COL5A2;ADIPOQ;ADAMTS10;LAMB2;SFRP2;EMID1;DMBT1;NCAN;AGT;TECTA;COL19A1;BCAN;NTN5;GPC4;FBN1;PKHD1L1;LAMC1;FGL1;LRRTM3;LTBP2;ICAM1;ZP1;COL1A2;VCAN;CCBE1;EMILIN2;LRRC3B;CFP;PLOD3;MMP19;ADAMTS14;GP1BA;COL4A2;WNT8A;MMP2;EGFL7;SERPINH1;FGFBP3;COL7A1;RBP3;ANGPT4;MFGE8;COL28A1
GOMF_CATION_CHANNEL_ACTIVITY,-0.5220219246750781,-1.840342589947794,1.999960000799984e-5,0.004253605022390778,"Enables the energy-independent passage of cations across a lipid bilayer down a concentration gradient. [GOC:def, GOC:dph, GOC:mtg_transport, GOC:pr, ISBN:0815340729]",KCNG1;KCNF1;KCNJ16;KCNT1;NOX5;SCN1B;CACNA1A;PEX5L;TRPM8;KCNB1;TRPM5;SCN1A;CHRNA2;PKD1L2;SCN2A;CACNA1I;SCN3B;P2RX2;KCNE4;CNGB1;CACNA1G;CACNA1E;CALHM1;KCNK12;KCNH2;CHRNB4;TRPM2;KCNA2;TRPC7;KCNK4;KCNK17;CACNG4;GRIN2B;SCN11A;LRRC55;KCNJ11;SCN2B;NALF1;SLC24A2;GRIK5;SCN4A;CACNA2D2;KCNIP1;KCNJ12;TMC2;HTR3E;KCNIP2;KCNQ4;CACNG8;KCNH7;KCNJ6;KCNA1;PKDREJ;KCNA7;CALHM5;TRPM3;CHRNB2;ASIC4;CNGB3;KCNA5;P2RX6;ASIC2;KCNMA1;GRIN2C;KCNE5;NALF2;RYR1;P2RX5;KCNH6;KCNS1;CNGA3;KCNN3;KCNK10;KCNJ2;SCN5A;KCNMB1;KCNG4;CACNA1B;KCNJ4;OTOP1;SCN8A;GRIN2D;KCNA10;SCN3A;TMEM63C;KCNC1;HTR1B;PKD1L1;KCNIP3;OTOP2;KCNS2;ABCC8;SLC24A4;KCNJ13;GRIA3;KCNH5;PIEZO2;RYR3;P2RX1;CATSPER1;KCNH1;TMEM38B;KCNK3;ASIC3;KCNN2;KCNK15;GRIA1;RYR2;KCNK9;GRIK4;HCN4;SNAP25;KCNJ1;KCNC2;KCNAB2;SLC24A5;KCNK16;GRIK3;HCN2;ABCC9;UNC80;GRIN1;CHRNA10;CHRND;P2RX4;CCT8L2;KCNQ3;KCNJ9;GRIN3A;TRPC4;KCNK13;CNGA1;CACNA1F;CACNG1;CACNA1H;CHRNA5
GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY,-0.535501647255181,-1.9107143889789016,1.999960000799984e-5,0.004253605022390778,"Combining with an extracellular signal and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex. [GOC:bf, http://www.iuphar-db.org, Wikipedia:GPCR]",CHRM1;GPR83;OR6A2;S1PR3;OR7G2;OR4D1;HTR2A;ADORA3;FZD9;LGR5;SSTR1;HTR1F;GLP1R;OR9A4;OR13H1;OR9I1;CHRM5;ADRA2B;GPR84;OR7D2;UTS2R;SORCS1;SSTR4;HTR4;MAS1;OR1L1;ADGRD1;OR8G1;OR5A1;OR2D3;TACR1;QRFPR;CHRM4;PRLHR;OR5K1;PTGDR;PTGER3;CRHR2;GRM1;GLP2R;ADORA1;OR1N2;SSTR2;OR3A3;OR1Q1;OR2W3;GPR31;PTAFR;GPR151;OR6J1;NPR3;OR2AG2;OR13D1;SMO;OR10A2;MRGPRX2;DRD1;GPR4;OR1F2P;TBXA2R;GPR78;GPR3;OR2L3;GPR156;GRM3;GPR152;GPR45;ADCYAP1R1;GRPR;OR1M1;OR10V1;ADGRG2;VIPR2;CCKBR;OR9Q2;GPR75;TAS2R38;PTH2R;OR56A4;OR5AU1;GPR26;OR2B11;ADGRA3;OR1A1;OR5H14;MCHR1;NTSR1;ADRA1A;OXER1;CELSR3;ADGRA1;MTNR1B;OR2B6;GPR19;ADGRL3;OR1I1;SORCS2;OR52W1;GPR161;OPN4;NPY1R;OR2L2;TAS2R39;XCR1;OR13G1;GPR142;RXFP4;GPR55;OR51B2;ADRA1D;OR56A1;OR1J1;CCR10;HCAR1;MC4R;NMUR1;ADORA2A;AVPR1A;OR52M1;CCKAR;CCRL2;OR1J4;SSTR5;ADRA1B;TACR2;F2RL3;CMKLR1;CASR;ADGRB2;GPR88;ACKR1;EDNRA;LGR6;S1PR1;SSTR3;HTR1B;KISS1R;OPN1SW;OR10A5;OR2W6P;OR6F1;C5AR2;OR52K1;PAX8;MC5R;GPR182;OR1L8;GPR146;TAS2R4;GHSR;OR2AK2;GPR6;HRH3;NMUR2;GALR3;MLNR;ADRA2C;FZD10;GPR135;ADGRF2;OR2B2;OR51M1;TAS2R40;OR51B4;APLNR;OR10D3;OR52B2;OR2M3;OR10H1;PROKR1;ADGRG5;OR52K2;HRH2;OR52I2;GRM6;ADGRB1;OR52I1;ADGRA2;GPR85;GPR52;TRHR;OPRD1;HRH4;OR2D2;HTR1D;OR7C1;GPR150;NPFFR1;OR10H2;CHRM3;OR51B6;GPR141;OR13J1;GRIK3;HCRTR1;GPR68;OR1C1;PTGIR;GABBR2;LPAR3;GPR12;ADGRD2;P2RY14;FZD7;NMBR;GPR33;OR5B21;GP1BA;ADGRF5;GPR37L1;OR10H5;F2RL2;OR10A4;OR52N5;OR52D1;GPR39;GRM4;OR51I1;OR7A5;GPR176;ACKR2;GPR173;GPR132;GRM2;OR51Q1;OR10Z1;OR52A1;CCR9;CCR7;OR1D2;OR52N4;TSHR;OR6T1;C5AR1;ADRB3;FFAR3;OPN3;GPR15;HCAR2;GPR158;OR10AD1;OR5A2;HTR6;CCR4;GPR17;RRH;GPR35;P2RY4;SPHK2;CCR2;GNAT2;OR52B6;GPR62;OR2C3;ADGRG3;ADRA2A;GPR61;SUCNR1;RAMP3;CCR8;RORB;GPR101;XPR1
GOMF_GATED_CHANNEL_ACTIVITY,-0.5219942125862437,-1.8409603553464995,1.999960000799984e-5,0.004253605022390778,Enables the transmembrane transfer of a solute by a channel that opens in response to a specific stimulus. [GOC:mtg_transport],KCNG1;KCNF1;KCNJ16;KCNT1;SCN1B;CACNA1A;PEX5L;TRPM8;KCNB1;TRPM5;SCN1A;CHRNA2;SCN2A;CACNA1I;SCN3B;P2RX2;KCNE4;CNGB1;CACNA1G;CACNA1E;GRID2;CALHM1;KCNK12;KCNH2;CHRNB4;GABRB1;TRPM2;KCNA2;KCNK4;KCNK17;CACNG4;GRIN2B;SCN11A;LRRC55;KCNJ11;SCN2B;NALF1;GRIK5;SCN4A;CACNA2D2;KCNIP1;KCNJ12;TMC2;HTR3E;TMC3;KCNIP2;KCNQ4;CACNG8;KCNH7;KCNJ6;KCNA1;KCNA7;TRPM3;CHRNB2;ASIC4;CNGB3;KCNA5;P2RX6;ASIC2;KCNMA1;GRIN2C;KCNE5;GABRD;GABRA4;NALF2;RYR1;P2RX5;KCNH6;KCNS1;CNGA3;KCNN3;KCNK10;KCNJ2;SCN5A;ANO7;KCNMB1;KCNG4;GABRG2;CACNA1B;KCNJ4;SCN8A;GRIN2D;KCNA10;SCN3A;TMEM63C;KCNC1;HTR1B;KCNIP3;KCNS2;ABCC8;KCNJ13;GRIA3;NMUR2;KCNH5;PIEZO2;RYR3;P2RX1;CATSPER1;KCNH1;GABRB2;KCNK3;ASIC3;KCNN2;KCNK15;GRIA1;RYR2;KCNK9;GRIK4;GRID1;HCN4;BEST1;SNAP25;KCNJ1;KCNC2;KCNAB2;KCNK16;GRIK3;CLCN6;HCN2;ABCC9;GRIN1;CHRNA10;CHRND;P2RX4;CCT8L2;KCNQ3;KCNJ9;GRIN3A;KCNK13;CNGA1;CACNA1F;CLCA1;CACNG1;CACNA1H;CHRNA5;CACNB2;KCNJ10;KCNMB4;TMEM266;GRIK1;TPCN2;CHRNG;KCNC4;KCNJ8;CHRNE;KCNK7;KCNJ5;GABRG3;CATSPER4;GLRA1;TMC1;TMC7;KCNH4;TTYH2;CALHM3
