Ensembl ID,Gene name,log2 FC,p-value,q-value
ENSG00000279261,LINC02961,-1.4342671897721573,2.7424518309477045e-6,0.06759595272919902
ENSG00000164007,CLDN19,-1.0722627304769625,1.7996870022506135e-5,0.10474668278090217
ENSG00000230067,HSPD1P6,-1.2722633880591725,2.2795618630644264e-5,0.10474668278090217
ENSG00000229191,NA,-1.2425749739248844,2.581784269391204e-5,0.10474668278090217
ENSG00000169436,COL22A1,-1.2553085615679527,2.8582776804224347e-5,0.10474668278090217
ENSG00000237353,PATE4,-1.063600763526939,2.9445498405079923e-5,0.10474668278090217
ENSG00000168539,CHRM1,-1.3200709144097709,2.9747921919276012e-5,0.10474668278090217
ENSG00000026559,KCNG1,-0.7204926448534903,4.821405674829178e-5,0.11657469019239812
ENSG00000155719,OTOA,-1.0056933145630398,4.855626784218276e-5,0.11657469019239812
ENSG00000099954,CECR2,-1.0549176147403219,5.209901066159195e-5,0.11657469019239812
ENSG00000162975,KCNF1,-1.4384035448306882,5.966934903073977e-5,0.11657469019239812
ENSG00000236539,HNRNPA1P54,-0.843221492918834,6.024830792173826e-5,0.11657469019239812
ENSG00000095587,TLL2,-0.7663999561754756,6.182391104761333e-5,0.11657469019239812
ENSG00000270571,NA,-1.0932264636818867,7.07734624792488e-5,0.11657469019239812
ENSG00000153822,KCNJ16,-1.10532059515996,7.094370143159574e-5,0.11657469019239812
ENSG00000079215,SLC1A3,-0.4350292434193709,7.893420717487764e-5,0.11702243999652484
ENSG00000228203,GRASLND,-0.8571356764749359,8.07116796470676e-5,0.11702243999652484
ENSG00000136274,NACAD,-0.7747588901394908,8.951296394623249e-5,0.12257308529704102
ENSG00000203721,LINC00862,-1.1519437046399146,9.542604158636161e-5,0.12379268805371794
ENSG00000225465,RFPL1S,-1.191648383116854,1.0960480314201161e-4,0.1334037144960664
ENSG00000276462,LINC03025,-1.084287050913401,1.1365944516461352e-4,0.1334037144960664
ENSG00000279980,GABARAPL3,-1.1513643049919697,1.271788091569837e-4,0.1381169114678651
ENSG00000256802,LCIIAR,-0.9151886310316544,1.3202895994657098e-4,0.1381169114678651
ENSG00000056487,PHF21B,-1.3034828668147096,1.365917520455315e-4,0.1381169114678651
ENSG00000140465,CYP1A1,-1.1197666164797935,1.4008936979457268e-4,0.1381169114678651
ENSG00000248587,GDNF-AS1,-1.0618728096725947,1.4641751876457847e-4,0.13822011435342135
ENSG00000205592,MUC19,-1.1685126423485321,1.5442890882705842e-4,0.13822011435342135
ENSG00000189212,DPY19L2P1,-0.981166293435895,1.6143708667016942e-4,0.13822011435342135
ENSG00000229140,CCDC26,-0.9873044682969722,1.6262509397311017e-4,0.13822011435342135
ENSG00000279175,NA,-0.7882669342162959,1.8163407437022386e-4,0.1438585185829593
ENSG00000107147,KCNT1,-0.8945622439696045,1.901837434224792e-4,0.1438585185829593
ENSG00000233491,CDHR17P,-0.9665972298470078,1.928777430643038e-4,0.1438585185829593
ENSG00000166947,EPB42,-1.2249653557983053,1.9759230973251824e-4,0.1438585185829593
ENSG00000231453,LINC01305,-0.9554189979627176,1.9844164361492274e-4,0.1438585185829593
ENSG00000233821,ENOX1-AS1,-1.1199306172476775,2.257099699219868e-4,0.14892374153404336
ENSG00000259417,CTXND1,-0.8017293202464664,2.3528766992349018e-4,0.14892374153404336
ENSG00000225968,ELFN1,-0.9801155914489316,2.3783585550657117e-4,0.14892374153404336
ENSG00000128564,VGF,-0.7081886483203234,2.3868510210526712e-4,0.14892374153404336
ENSG00000233932,CTXN2,-1.243608752662077,2.4526862194703596e-4,0.14892374153404336
ENSG00000150977,RILPL2,-0.21689015519441593,2.4555818331234257e-4,0.14892374153404336
ENSG00000101098,RIMS4,-0.9598385625272269,2.510930815035479e-4,0.14892374153404336
ENSG00000164591,MYOZ3,-1.0461384170640233,2.5803215767283193e-4,0.14892374153404336
ENSG00000139287,TPH2,-1.077816905402749,2.598069168274856e-4,0.14892374153404336
ENSG00000167419,LPO,-1.1569233467881261,2.706082862571092e-4,0.14942462083171124
ENSG00000266290,DYNLL2-DT,-1.1759774798329852,2.7280541777941435e-4,0.14942462083171124
ENSG00000186198,SLC51B,-0.6994606764301055,3.0057504143373315e-4,0.158333934772832
ENSG00000257966,OLA1P3,-0.810150438824436,3.0191881427795776e-4,0.158333934772832
ENSG00000105255,FSD1,-0.844396861768695,3.1655301716307946e-4,0.15995167474384678
ENSG00000124440,HIF3A,-0.78373400777143,3.239511661282762e-4,0.15995167474384678
ENSG00000168454,TXNDC2,-0.8650782088190844,3.2491539712348265e-4,0.15995167474384678
